year,strategy_id,strategy_name,chart,metric,facility_type,value,units
2023,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,6.267337254285718,Mt CO2e
2023,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,15.684255338292829,Mt CO2e
2023,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,5.076407407421452,Mt CO2e
2023,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,27.028,Mt CO2e
2024,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,7.1385924538031755,Mt CO2e
2024,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,15.56856086475576,Mt CO2e
2024,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,5.037076182688575,Mt CO2e
2024,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,27.74422950124732,Mt CO2e
2025,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,8.010526775302651,Mt CO2e
2025,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,15.450191172846647,Mt CO2e
2025,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.99698349864565,Mt CO2e
2025,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,28.457701446794577,Mt CO2e
2026,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,8.883782172434532,Mt CO2e
2026,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,15.323396002263785,Mt CO2e
2026,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.954494202681464,Mt CO2e
2026,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,29.16167237737923,Mt CO2e
2027,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,9.759138939886,Mt CO2e
2027,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,15.181227732354287,Mt CO2e
2027,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.907695314351315,Mt CO2e
2027,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,29.84806198659088,Mt CO2e
2028,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,10.637289692407943,Mt CO2e
2028,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,15.016390364868784,Mt CO2e
2028,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.854575190929266,Mt CO2e
2028,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,30.508255248205106,Mt CO2e
2029,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,11.518612191893805,Mt CO2e
2029,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,14.822098415718862,Mt CO2e
2029,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.793187884915378,Mt CO2e
2029,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,31.133898492527006,Mt CO2e
2030,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,12.403298419957832,Mt CO2e
2030,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,14.59247208614915,Mt CO2e
2030,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.721803744640934,Mt CO2e
2030,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,31.71757425074674,Mt CO2e
2031,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,13.29152250839762,Mt CO2e
2031,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,14.32290210099644,Mt CO2e
2031,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.639038989919705,Mt CO2e
2031,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,32.25346359931247,Mt CO2e
2032,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,14.18365253971454,Mt CO2e
2032,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,14.010386021255695,Mt CO2e
2032,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.543981816603061,Mt CO2e
2032,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,32.73802037757187,Mt CO2e
2033,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,15.080181025586459,Mt CO2e
2033,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,13.653308536693832,Mt CO2e
2033,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.43612869032234,Mt CO2e
2033,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,33.1696182526011,Mt CO2e
2034,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,15.981662858580716,Mt CO2e
2034,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,13.251238242241929,Mt CO2e
2034,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.315325223986939,Mt CO2e
2034,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,33.54822632480797,Mt CO2e
2035,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,16.888660602258717,Mt CO2e
2035,6003,BAU,fgtv_components,vent_ch4_mt_co2e,All,12.804741706992761,Mt CO2e
2035,6003,BAU,fgtv_components,dtp_ch4_mt_co2e,All,4.181711914376993,Mt CO2e
2035,6003,BAU,fgtv_components,total_fgtv_mt_co2e,All,33.875114223626795,Mt CO2e
2036,6003,BAU,fgtv_components,flar_emis_mt_co2e,All,17.80169694461643,Mt CO2e
